DATE,Home_Price_Index,Interest_Rate,Unemployment_Rate,Inflation_CPI,Building_Permits,Consumer_Sentiment,Housing_Starts,US_Population,Mortgage_Rate,Median_Income,Interest_Rate_lag1,Unemployment_Rate_lag1,Inflation_CPI_lag1,Mortgage_Rate_lag1,Unemployment_Rate_roll3,Consumer_Sentiment_roll3,Income_to_Mortgage_Ratio,Income_to_Unemployment_Ratio,Permit_to_Population_Ratio,CPI_to_Interest_Rate,HPI_lag1,HPI_lag3,Home_Price_Index_Smoothed,Income_pct_change,Unemployment_pct_change,HPI_pct_change
2009-01-01,151.506,0.15,7.8,211.933,545,61.2,490,306035,5.047499999999999,35880.0,0.16,7.3,211.398,5.286,7.3,58.866666666666674,7108.469539375929,4600.0,0.00178084206054863,1412.8866666666668,153.618,158.326,153.755,-0.010206896551724132,0.06849315068493156,-0.013748388860680305
2009-02-01,150.014,0.22,8.3,212.705,558,56.3,582,306237,5.13,35880.0,0.15,7.8,211.933,5.047499999999999,7.8,59.199999999999996,6994.152046783626,4322.89156626506,0.001822118163383262,966.8409090909091,151.506,156.141,151.71266666666668,0.0,0.06410256410256432,-0.00984779480680631
2009-03-01,148.66,0.18,8.7,212.495,513,57.3,505,306438,5.0025,35880.0,0.22,8.3,212.705,5.13,8.266666666666667,58.26666666666667,7172.4137931034475,4124.137931034483,0.0016740743641454389,1180.5277777777778,150.014,153.618,150.06,0.0,0.04819277108433728,-0.009025824256402859
2009-04-01,147.94899999999998,0.15,9.0,212.709,521,65.1,478,306645,4.8100000000000005,35880.0,0.18,8.7,212.495,5.0025,8.666666666666666,59.56666666666666,7459.459459459459,3986.6666666666665,0.0016990330838591856,1418.0600000000002,148.66,151.506,148.8743333333333,0.0,0.034482758620689724,-0.004782725682766165
2009-05-01,147.69299999999998,0.18,9.4,213.022,556,68.7,540,306863,4.8575,35880.0,0.15,9.0,212.709,4.8100000000000005,9.033333333333333,63.699999999999996,7386.515697375193,3817.0212765957444,0.0018118834789466309,1183.4555555555555,147.94899999999998,150.014,148.10066666666663,0.0,0.04444444444444451,-0.0017303259907129886
2009-06-01,148.088,0.21,9.5,214.79,601,70.8,585,307090,5.42,35880.0,0.18,9.4,213.022,4.8575,9.299999999999999,68.2,6619.926199261993,3776.842105263158,0.001957080986030154,1022.8095238095239,147.69299999999998,148.66,147.91,0.0,0.010638297872340496,0.0026744666301043996
2009-07-01,148.408,0.16,9.5,214.726,595,66.0,594,307322,5.2219999999999995,35880.0,0.21,9.5,214.79,5.42,9.466666666666667,68.5,6870.930677901188,3776.842105263158,0.0019360800723670938,1342.0375,148.088,147.94899999999998,148.063,0.0,0.0,0.0021608773161903017
2009-08-01,148.27700000000002,0.16,9.6,215.445,616,65.7,586,307570,5.1925,35880.0,0.16,9.5,214.726,5.2219999999999995,9.533333333333333,67.5,6909.966297544535,3737.5,0.002002796111454303,1346.53125,148.408,147.69299999999998,148.25766666666667,0.0,0.010526315789473717,-0.0008827017411457971
2009-09-01,148.025,0.15,9.8,215.861,609,73.5,585,307826,5.0575,35880.0,0.16,9.6,215.445,5.1925,9.633333333333335,68.39999999999999,7094.414236282748,3661.224489795918,0.0019783903893758163,1439.0733333333333,148.27700000000002,148.088,148.23666666666668,0.0,0.02083333333333348,-0.0016995218408789592
2009-10-01,147.85,0.12,10.0,216.509,583,70.6,534,308071,4.952,35880.0,0.15,9.8,215.861,5.0575,9.799999999999999,69.93333333333332,7245.557350565428,3588.0,0.0018924209029736652,1804.2416666666666,148.025,148.408,148.05066666666667,0.0,0.020408163265306145,-0.001182232730957633
